Henry_Clay,13
Nargis_Fakhri,6
John_Rollin_Ridge,7
Ned_Hanlan,9
Veena_Malik,8
Rupert_Crosse,9
Watse_Cuperus,5
Cameron_Diaz,4
Kotayya_Pratyagatma,9
Aram_Haigaz,6
Cliff_Edwards,8
Spencer_Darwin_Pettis,6
Alan_Bates,8
Suicide_of_Kelly_Yeomans,5
Spanish_Louie,9
Cesare_Zavattini,5
Puttaparthi_Narayanacharyulu,8
David_Fabricius,3
Simon_Dee,5
Russ_Meyer,9
Sara_Paretsky,4
Etty_Hillesum,6
Devdas_Gandhi,12
Haskell_Curry,4
Andrzej_Wajda,6
Franz_Joseph_I_of_Austria,9
Sola_Asedeko,5
Serginho_Groisman,5
Rebekah_Gibbs,5
Bansi_Chandragupta,8
George_Seldes,7
Hans_Schmidt_(Waffen-SS),4
Polly_Adler,4
Fred_Korematsu,11
Susan_Rasky,6
Clarence_Nash,6
Abibatu_Mogaji,5
Lorilee_Craker,4
Abimbola_Fashola,7
Larry_Itliong,6
Pedro_Bandeira,4
L'Wren_Scott,8
Aneta_Corsaut,8
Shahram_Amiri,8
Raj_Chakraborty,9
Xu_Zechen,5
George_Joseph_(West_Virginia),5
Charles_Olweny,9
Heinrich_Zschokke,3
Sun_Weishi,10
Charles_Godakumbura,7
Syed_Ahmed_(businessman),7
Carlos_Magdaluyo,6
Mike_Minor_(actor),9
Leonard_Hurst,6
Richard_Crasta,4
Huccha_Venkat,7
George_Marshall,6
Stuart_Robert_Glass,5
Francisco_Pizarro,8
Anatoliy_Abdula,2
Charles_Enderlin,4
Muhammad_Mojlum_Khan,7
Yash_Chopra,13
Joy_Davidman,7
Mike_Adenuga,11
Guy_Williams_(actor),7
Jeannette_Kagame,9
Sameer_Yasir,5
Anders_Hejlsberg,3
Pritam_Singh_Safir,5
Foad_Mostafa_Soltani,4
Leo_Frank,7
Charles_Rennie_Mackintosh,6
Emperor_Go-Daigo,4
Olive_Thomas,7
V._J._P._Saldanha,8
Jimmy_Donegan,8
John_Gilbert_(actor),6
Ibrahim_Shihata,10
Joan_Kagezi,12
Ghulam_Muhammad_Qasir,11
Bonium_Thokchom,9
Henry_Moskowitz_(real_estate_investor),6
Larry_Stephens,5
Carlo_Rubbia,5
Lawrence_Kohlberg,6
Hieronymus_Bosch,7
Murder_of_Marwa_El-Sherbini,5
Martin_Agronsky,6
Cass_Gilbert,4
Ganesh_Prasad,10
William_Modell,5
Arcangelo_Corelli,3
Frank_Gehry,3
Herbert_Putnam,8
Alan_Henning,6
Jane_Thurgood-Dove,5
Carter_Harrison_Sr.,8
Shaista_Aziz,6
Francesco_Foscari,3
Peter_Falk,11
Jean-Paul_Elkann,14
Pratibha_Ray,6
Arnold_Bennett,6
Benny_Goodman,3
Husna_Ahmad,10
Cliff_Richard,4
Linda_J._Wachner,4
Abraham_Zapruder,7
Gilbert_Delahaye,3
Fazle_Hasan_Abed,13
Veena_Nair,5
Pearl_White,7
Lois_K._Miller,6
Edward_Kern,9
Edna_Kramer,6
Constance_Ellis,8
David_Jason,2
"Christina,_Queen_of_Sweden",6
Fazil_Iskander,9
Gunapala_Piyasena_Malalasekera,8
Brian_Keith,7
Gerhard_Bronner,6
Omafume_Onoge,5
Glenn_Close,8
Jean_Clemens,7
Zhang_Lifan,8
Ambrosius_Holbein,5
Eugene_McCarthy,10
Quett_Masire,7
Anton_Cermak,7
Gavin_Bishop,5
David_Rose_(real_estate_developer),5
Sitor_Situmorang,8
Taraki_Sivaram,7
Esther_Ralston,6
Francesco_Boffo,3
Jerry_Heller,6
Francisco_Lachowski,8
Joe_Alaskey,6
Malcolm_Sayer,5
Hirmis_Aboona,8
Francesco_Zuccarelli,3
Mike_Royko,9
Allen_G._Thurman,6
Charles_M._Schulz,3
Alfred_Watkins,4
Christopher_Landsea,5
Cary_Grant,3
Grace_McKenzie,3
Herbie_Hancock,4
Akiko_Yano,2
Vincent_Price,14
A._C._Bhaktivedanta_Swami_Prabhupada,10
Murali_Chemuturi,6
William_Henry_Harvey,9
Freddie_Mercury,10
Diana_Wynne_Jones,4
Stuart_Rose,4
Nirmal_Kumar_Bose,7
Ayo_Adesanya,5
Hamom_Sadananda,7
William_L._Carpenter,6
Bob_Kahn,7
Frederick_Seitz,10
Cynthia_Ozick,5
Doris_Roberts,8
Andie_MacDowell,4
Murder_of_Khaled_Idris_Bahray,7
Paul_Marquess,5
Hubert_Humphrey,10
Evelyn_Anite,9
Colin_Turnbull,3
William_Duesbury,7
Suicide_of_Dawn-Marie_Wesley,7
Bill_Cardille,5
Herman_Ssewanyana,6
Viola_Herms_Drath,5
Anwar_Sadat,9
Sudeep_Nagarkar,7
Abdul_Hamid_Bahij,7
Somendro,5
Herman_Husband,9
Wendy_Richard,7
Elias_Magnus_Fries,3
Zheng_Cao,8
Seo_Hajin,4
Norbert_Mao,10
Jakub_Kagan,5
Shirshendu_Mukhopadhyay,7
Funmi_Aragbaye,5
Sextus_Barbour,10
Mary_Jo_Kopechne,8
Lee_Matasi,9
Dicaearchus,2
Steve_Irwin,9
Claudia_Burton_Bradley,8
Gian_Galeazzo_Visconti,7
Emperor_Go-Reizei,3
George_VI,7
Domenico_Cimarosa,3
Emmanuel_Tumusiime-Mutebile,12
Simon_Ejua,10
Aaron_Fa'aoso,7
Eric_Corley,4
Dominic_Ongwen,5
Menaye_Donkor,11
Dejumo_Lewis,5
Gustav_Holst,3
Femi_Robinson,7
Samir_Brikho,5
Tabassum_Akhlaq,6
Mat_Johnson,8
Howard_Lorber,5
Alexander_Chee,4
Subrat_Kumar_Prusty,8
Saroj_Ghose,5
Percy_Williams_Bridgman,6
Adam_Kilgarriff,11
Dave_Cutler,2
Carlo_Fonseka,9
Daniel_Chodowiecki,2
Montazur_Rahman_Akbar,9
Priya_Munasinghe,6
Ahmed_Tijjani_Mora,7
John-Roger_Hinkins,8
Morley_Safer,6
August_Weismann,5
Richard_LeFrak,7
Stephen_Decatur_Carpenter,10
