A._C._Bhaktivedanta_Swami_Prabhupada	place_of_birth	Kolkata
A._C._Bhaktivedanta_Swami_Prabhupada	religion	Gaudiya_Vaishnavism
A._C._Bhaktivedanta_Swami_Prabhupada	place_of_death	Uttar_Pradesh
A._C._Bhaktivedanta_Swami_Prabhupada	place_of_birth	Calcutta
A._C._Bhaktivedanta_Swami_Prabhupada	place_of_birth	Bengal_Presidency
A._C._Bhaktivedanta_Swami_Prabhupada	place_of_birth	British_India
A._C._Bhaktivedanta_Swami_Prabhupada	religion	Hinduism
Hernando_de_Soto	gender	male
Hernando_de_Soto	nationality	Castilian
Hernando_de_Soto	place_of_death	McArthur,_Arkansas
Hernando_de_Soto	place_of_birth	Badajoz
Hernando_de_Soto	religion	Roman_Catholicism
Hernando_de_Soto	place_of_death	Louisiana
Hernando_de_Soto	place_of_death	Mississippi_River
Hernando_de_Soto	place_of_death	Ferriday,_Louisiana
Hernando_de_Soto	place_of_birth	Crown_of_Castile
Hernando_de_Soto	place_of_birth	Barcarrota
Hernando_de_Soto	place_of_birth	Extremadura
Hernando_de_Soto	place_of_birth	Jerez_de_los_Caballeros
Erich_Honecker	gender	male
Erich_Honecker	nationality	German
Erich_Honecker	profession	Politician
Erich_Honecker	place_of_death	La_Reina
Erich_Honecker	place_of_birth	Neunkirchen,_Saarland
Erich_Honecker	spouse	Margot_Honecker
Erich_Honecker	place_of_death	Santiago,_Chile
Erich_Honecker	place_of_birth	German_Empire
Erich_Honecker	spouse	Edith_Baumann_(politician)
Anthony_Burgess	gender	male
Anthony_Burgess	nationality	English
Anthony_Burgess	place_of_death	St_John's_Wood
Anthony_Burgess	place_of_birth	Manchester
Anthony_Burgess	institution	Victoria_University_of_Manchester
Anthony_Burgess	spouse	Liana_Burgess
Anthony_Burgess	place_of_birth	Harpurhey
Anthony_Burgess	place_of_birth	Lancashire
Anthony_Burgess	place_of_death	London
Ernest_Jones	gender	male
Ernest_Jones	nationality	Welsh
Ernest_Jones	place_of_death	London
Ernest_Jones	place_of_birth	Gowerton
Ernest_Jones	institution	University_College_London
Ernest_Jones	spouse	Morfydd_Llwyn_Owen
Arkan	gender	male
Arkan	nationality	Yugoslavia
Arkan	place_of_death	Belgrade
Arkan	spouse	Ceca_(singer)
Charles_Rennie_Mackintosh	gender	male
Charles_Rennie_Mackintosh	nationality	Scottish
Charles_Rennie_Mackintosh	place_of_death	London
Charles_Rennie_Mackintosh	place_of_birth	Townhead
Charles_Rennie_Mackintosh	spouse	Margaret_Macdonald_Mackintosh
Charles_Rennie_Mackintosh	place_of_birth	Glasgow
Elizabeth_Gaskell	gender	female
Elizabeth_Gaskell	nationality	English
Elizabeth_Gaskell	place_of_death	Holybourne
Elizabeth_Gaskell	place_of_birth	London
Elizabeth_Gaskell	spouse	William_Gaskell
Elizabeth_Gaskell	place_of_death	Alton,_Hampshire
Elizabeth_Gaskell	place_of_birth	Chelsea,_London
Hermann_Zapf	gender	male
Hermann_Zapf	nationality	German
Hermann_Zapf	place_of_death	Darmstadt
Hermann_Zapf	place_of_birth	German_Empire
Hermann_Zapf	spouse	Gudrun_Zapf_von_Hesse
Hermann_Zapf	place_of_birth	Nuremberg
Andrew_Lloyd_Webber	gender	male
Andrew_Lloyd_Webber	nationality	British
Andrew_Lloyd_Webber	place_of_birth	Kensington
Andrew_Lloyd_Webber	institution	Royal_College_of_Music
Andrew_Lloyd_Webber	parents	William_Lloyd_Webber
Andrew_Lloyd_Webber	children	Imogen_Lloyd_Webber
Andrew_Lloyd_Webber	spouse	Madeleine_Gurdon
Andrew_Lloyd_Webber	institution	Westminster_School
Andrew_Lloyd_Webber	place_of_birth	London
Andrew_Lloyd_Webber	spouse	Sarah_Brightman
Edward_Witten	gender	male
Edward_Witten	nationality	American
Edward_Witten	place_of_birth	Baltimore
Edward_Witten	location	Princeton,_New_Jersey
Edward_Witten	institution	Princeton_University
Edward_Witten	spouse	Chiara_Nappi
Edward_Witten	institution	Ph.D.
Edward_Witten	institution	Brandeis_University
Edward_Witten	institution	University_of_Wisconsin,_Madison
Edward_Witten	place_of_birth	Maryland
George_Lakoff	gender	male
George_Lakoff	nationality	United States
George_Lakoff	place_of_birth	Bayonne,_New_Jersey
George_Lakoff	location	Berkeley,_California
George_Lakoff	institution	Indiana_University
George_Lakoff	spouse	Robin_Lakoff
George_Lakoff	institution	MIT
Christine_McVie	gender	female
Christine_McVie	nationality	British
Christine_McVie	place_of_birth	Bouth
Christine_McVie	spouse	John_McVie
Christine_McVie	place_of_birth	England
Christine_McVie	place_of_birth	Lancashire
Allen_G._Thurman	gender	male
Allen_G._Thurman	nationality	American
Allen_G._Thurman	profession	Secretary
Allen_G._Thurman	place_of_death	Columbus,_Ohio
Allen_G._Thurman	place_of_birth	Lynchburg,_Virginia
Allen_G._Thurman	children	Allan_W._Thurman
Carl_Woese	gender	male
Carl_Woese	nationality	United States
Carl_Woese	place_of_death	Urbana,_Illinois
Carl_Woese	place_of_birth	Syracuse,_New_York
Carl_Woese	location	Urbana,_Illinois
Carl_Woese	institution	Amherst_College
Carl_Woese	institution	Yale_University
Alfred_Kinsey	gender	male
Alfred_Kinsey	nationality	American
